City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
384,Ahuimanu,US,80.31,clear sky,21.4447,-157.8378,Paradise Bay Resort
386,Jacmel,HT,84.04,overcast clouds,18.2342,-72.5347,Historic Hotel Florita
388,Wewak,PG,77.09,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
389,Komatipoort,ZA,75.06,overcast clouds,-25.4332,31.9548,Kruger View Backpackers
391,Rondonopolis,BR,76.1,overcast clouds,-16.4708,-54.6356,Serras Hotel
393,Kailua,US,80.58,clear sky,21.4022,-157.7394,Sheffield House Bed & Breakfast
394,Dicabisagan,PH,75.96,few clouds,17.0818,122.4157,Nancy Montanes Bernardo
402,Ambon,ID,80.74,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
415,Salta,AR,77.29,broken clouds,-24.7859,-65.4117,Hotel Alejandro I
424,Ixtapa,MX,78.03,clear sky,20.7,-105.2,Hotel Plaza Providencia
425,Takoradi,GH,80.04,few clouds,4.8845,-1.7554,Raybow International Hotel
434,Parakou,BJ,77.7,scattered clouds,9.3372,2.6303,Benin Metropole Hotel
439,Lazaro Cardenas,MX,83.53,clear sky,17.9583,-102.2,Baymont by Wyndham Lazaro Cardenas
440,Libreville,GA,80.56,overcast clouds,0.3925,9.4537,Le Méridien Re-Ndama
441,Boyolangu,ID,76.33,overcast clouds,-8.1181,111.8935,Yos ega cv
444,Hobyo,SO,76.84,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
452,Pemangkat,ID,76.46,overcast clouds,1.1667,108.9667,Ramah Kost KITA
458,Martapura,ID,75.29,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
459,Porto Velho,BR,82.45,scattered clouds,-8.7619,-63.9039,Hotel Central
460,Bandundu,CD,76.46,overcast clouds,-3.3167,17.3667,Coja Color
463,Sokoni,TZ,80.62,overcast clouds,-6.4333,39.55,Ujamaa Beach Resort
467,Bengkulu,ID,75.88,heavy intensity rain,-3.8004,102.2655,Grage Hotel Bengkulu
468,Mackay,AU,76.68,few clouds,-21.15,149.2,International Lodge Motel
475,San Pedro De Macoris,DO,84.33,clear sky,18.4616,-69.2972,Apartahotel Guaraguao
479,Nanakuli,US,80.55,clear sky,21.3906,-158.1547,Camp Pālehua
483,Mattru,SL,77.63,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
484,Oranjestad,AW,78.35,clear sky,12.524,-70.027,Divi Village Golf & Beach Resort
486,Faanui,PF,80.04,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
501,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
510,Meulaboh,ID,77.54,broken clouds,4.1363,96.1285,Kost Pria
522,Hambantota,LK,77.95,broken clouds,6.1241,81.1185,Bungalow 63
530,Bondoukou,CI,81.05,few clouds,8.0333,-2.8,Prestige Hotel
536,Moroni,KM,78.64,scattered clouds,-11.7022,43.2551,Hotel les Arcades
544,Kibala,TD,77.56,scattered clouds,9.1104,18.3463,hotel safari
552,Kieta,PG,79.07,light rain,-6.2167,155.6333,Uruna Bay Retreat
553,San Policarpo,PH,77.85,broken clouds,12.1791,125.5072,Agapita M. Nicart
555,Pucallpa,PE,86.04,scattered clouds,-8.3791,-74.5539,Hospedaje Komby
558,Quelimane,MZ,80.55,few clouds,-17.8786,36.8883,Hotel Flamingo
560,Hienghene,NC,80.17,few clouds,-20.6833,164.9333,Ka Waboana Lodge
561,Manokwari,ID,77.38,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
562,Poum,NC,80.92,scattered clouds,-20.2333,164.0167,Gîte kajeon
573,Pando,UY,83.17,few clouds,-34.7167,-55.95,viviendas mvotma
575,Kupang,ID,79.38,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
578,Itarema,BR,79.66,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
582,Sechura,PE,79.21,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
586,Matara,LK,77.2,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
588,Caloundra,AU,76.12,broken clouds,-26.8,153.1333,Watermark Resort Caloundra
590,Sydney,AU,77.31,scattered clouds,-33.8679,151.2073,The Grace Sydney
591,Kerema,PG,77.47,light rain,-7.9631,145.7785,Frena Lodge
595,Autazes,BR,75.43,heavy intensity rain,-3.5797,-59.1306,Hotel Tupinambá
597,Santa Maria,BR,83.52,clear sky,-29.6842,-53.8069,Hotel Morotin
600,Japura,ID,75.65,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
610,Byron Bay,AU,75.15,broken clouds,-28.65,153.6167,Backpackers Inn
615,Cockburn Town,TC,80.56,few clouds,21.4612,-71.1419,Osprey Beach Hotel
616,Santiago,CL,81.28,clear sky,-33.4569,-70.6483,Che Lagarto Hostel Santiago
619,Tabou,CI,80.26,scattered clouds,4.423,-7.3528,hotêl doufoulougou
638,Batouri,CM,75.61,overcast clouds,4.4333,14.3667,Hotel Hollywood
644,Kununurra,AU,78.78,overcast clouds,-15.7667,128.7333,Hotel Kununurra
647,Jardim,BR,88.14,broken clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
649,Quatre Cocos,MU,79.09,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
654,Yulara,AU,75.04,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
659,Vila Velha,BR,80.55,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
664,Angoche,MZ,77.65,overcast clouds,-16.2325,39.9086,Guest House HESADA
668,Puerto Colombia,CO,84.29,clear sky,10.9878,-74.9547,Hotel El Emigrante
673,Kloulklubed,PW,75.7,broken clouds,7.0419,134.2556,Storyboard Beach Resort
677,Oistins,BB,78.89,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
689,Palembang,ID,78.89,haze,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
690,Robertsport,LR,80.85,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
697,Gualeguay,AR,82.96,clear sky,-33.1416,-59.3097,Faro del Lago
701,Bhatkal,IN,79.39,scattered clouds,13.9667,74.5667,Nilawar Palace
706,Talara,PE,81.36,clear sky,-4.5772,-81.2719,Hostal Oro Negro
