City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
96,Sitka,US,2022-01-29 21:06:00,57.0531,-135.33,37.29,81,100,14.97,moderate rain
97,Abha,SA,2022-01-29 21:06:01,18.2164,42.5053,50.25,76,0,6.91,clear sky
98,Maryborough,AU,2022-01-29 21:06:02,-25.5333,152.7,75.11,78,51,8.28,broken clouds
99,Yebaishou,CN,2022-01-29 21:06:03,41.3975,119.6408,13.91,41,0,2.15,clear sky
100,Luderitz,NA,2022-01-29 21:06:03,-26.6481,15.1594,67.57,80,73,8.81,broken clouds
101,Baruun-Urt,MN,2022-01-29 21:06:04,46.6806,113.2792,-8.36,88,16,2.33,few clouds
102,Slavicin,CZ,2022-01-29 21:06:05,49.088,17.8735,37.9,90,100,11.52,overcast clouds
103,Tamboril,DO,2022-01-29 21:06:06,19.4854,-70.611,84.97,54,75,6.91,broken clouds
104,Haverfordwest,GB,2022-01-29 21:06:07,51.8017,-4.9691,46.54,83,77,9.4,broken clouds
105,Port Elizabeth,ZA,2022-01-29 21:06:08,-33.918,25.5701,67.1,83,0,8.7,clear sky
106,Tupik,RU,2022-01-29 21:06:09,54.4253,119.9327,-17.27,97,16,2.51,few clouds
107,Kruisfontein,ZA,2022-01-29 21:06:11,-34.0033,24.7314,64.89,90,0,4.68,clear sky
108,Juneau,US,2022-01-29 21:06:12,58.3019,-134.4197,41.22,89,100,0.0,moderate rain
109,Gamba,GA,2022-01-29 21:06:13,-2.65,10.0,77.47,88,90,4.61,overcast clouds
110,Port Alfred,ZA,2022-01-29 21:03:06,-33.5906,26.891,70.18,83,46,12.37,scattered clouds
111,Avarua,CK,2022-01-29 21:03:02,-21.2078,-159.775,82.45,78,20,9.22,few clouds
112,Kapaa,US,2022-01-29 21:06:15,22.0752,-159.319,80.58,72,20,1.99,few clouds
113,Darnah,LY,2022-01-29 21:06:16,32.767,22.6367,52.36,65,53,23.4,broken clouds
114,Cape Town,ZA,2022-01-29 21:06:17,-33.9258,18.4232,68.11,73,0,4.0,clear sky
115,Aklavik,CA,2022-01-29 21:06:18,68.2191,-135.0107,-19.21,90,91,4.94,overcast clouds
116,Port Lincoln,AU,2022-01-29 21:05:03,-34.7333,135.8667,65.14,88,32,12.95,scattered clouds
117,Ponta Do Sol,PT,2022-01-29 21:03:06,32.6667,-17.1,65.03,68,25,5.06,scattered clouds
118,Jalu,LY,2022-01-29 21:06:20,29.0331,21.5482,52.7,39,0,10.98,clear sky
119,Araouane,ML,2022-01-29 21:06:21,18.9048,-3.5265,71.91,13,93,12.59,overcast clouds
120,Saint George,US,2022-01-29 21:06:22,37.1041,-113.5841,58.53,14,0,3.0,clear sky
121,Vostochnyy,RU,2022-01-29 21:06:22,55.8167,37.8667,24.78,98,92,3.44,overcast clouds
122,Mogzon,RU,2022-01-29 21:06:23,51.7435,111.9606,-24.25,100,90,1.43,overcast clouds
123,Barrow,US,2022-01-29 21:06:24,71.2906,-156.7887,-7.58,77,100,11.5,overcast clouds
124,Sola,VU,2022-01-29 21:06:25,-13.8833,167.55,83.21,77,100,21.65,overcast clouds
125,Micheweni,TZ,2022-01-29 21:06:26,-4.9667,39.8333,79.38,78,100,6.6,overcast clouds
126,Kahului,US,2022-01-29 21:05:25,20.8947,-156.47,80.62,53,40,16.11,scattered clouds
127,Portland,US,2022-01-29 21:04:49,45.5234,-122.6762,51.57,55,20,1.99,few clouds
128,Los Llanos De Aridane,ES,2022-01-29 21:06:28,28.6585,-17.9182,58.75,74,9,5.99,clear sky
129,Champerico,GT,2022-01-29 21:06:29,14.3,-91.9167,90.77,63,3,12.73,clear sky
130,Klaksvik,FO,2022-01-29 21:06:30,62.2266,-6.589,34.72,63,60,28.54,broken clouds
131,Grand Gaube,MU,2022-01-29 21:06:31,-20.0064,57.6608,79.38,74,90,5.99,overcast clouds
132,Deputatskiy,RU,2022-01-29 21:06:31,69.3,139.9,-18.06,87,100,2.17,overcast clouds
133,Prince Rupert,CA,2022-01-29 21:03:25,54.3161,-130.3201,41.09,93,100,14.97,mist
134,Haines Junction,CA,2022-01-29 21:06:33,60.7522,-137.5108,12.07,93,99,3.91,light snow
135,Sumbe,AO,2022-01-29 21:06:34,-11.2061,13.8437,78.26,87,100,7.67,overcast clouds
136,Praia,CV,2022-01-29 21:06:35,14.9215,-23.5087,70.34,68,75,14.97,broken clouds
137,Muros,ES,2022-01-29 21:06:35,42.7762,-9.0603,57.7,78,14,5.1,few clouds
138,Isangel,VU,2022-01-29 21:06:36,-19.55,169.2667,80.17,88,100,15.5,heavy intensity rain
139,Shache,CN,2022-01-29 21:06:37,38.4167,77.2406,25.72,44,12,2.71,few clouds
140,Mahebourg,MU,2022-01-29 21:07:38,-20.4081,57.7,79.25,71,100,13.31,overcast clouds
141,Sao Joao Da Barra,BR,2022-01-29 21:07:39,-21.6403,-41.0511,77.09,89,54,9.98,broken clouds
142,Cabo San Lucas,MX,2022-01-29 21:05:53,22.8909,-109.9124,80.62,56,0,7.0,clear sky
143,Puerto Carreno,CO,2022-01-29 21:06:55,6.189,-67.4859,95.77,22,69,15.57,broken clouds
144,Mexicali,MX,2022-01-29 21:04:49,32.6519,-115.4683,70.09,18,97,4.59,overcast clouds
145,College,US,2022-01-29 21:07:42,64.8569,-147.8028,-12.33,73,40,3.44,scattered clouds
146,Hasaki,JP,2022-01-29 21:06:36,35.7333,140.8333,27.0,61,65,19.8,broken clouds
147,Airai,TL,2022-01-29 21:07:44,-8.9266,125.4092,60.71,92,100,3.29,light rain
148,Tam Ky,VN,2022-01-29 21:07:45,15.5667,108.4833,75.18,91,14,3.38,few clouds
149,Seymchan,RU,2022-01-29 21:07:45,62.8833,152.4333,-8.19,98,100,5.57,light snow
150,Fryanovo,RU,2022-01-29 21:07:46,56.1333,38.45,23.32,99,93,2.71,overcast clouds
151,Coihaique,CL,2022-01-29 21:07:47,-45.5752,-72.0662,59.61,72,100,6.91,light intensity shower rain
152,Dingle,PH,2022-01-29 21:07:48,10.9995,122.6711,74.53,91,9,1.7,clear sky
153,Treinta Y Tres,UY,2022-01-29 21:07:50,-33.2333,-54.3833,77.59,50,36,12.06,scattered clouds
154,Pingliang,CN,2022-01-29 21:07:52,35.5392,106.6861,11.21,84,32,6.06,scattered clouds
155,Saldanha,ZA,2022-01-29 21:07:53,-33.0117,17.9442,65.03,87,0,16.91,clear sky
156,Hay River,CA,2022-01-29 21:03:30,60.8156,-115.7999,3.88,90,100,6.6,overcast clouds
157,Buchanan,LR,2022-01-29 21:07:54,5.8808,-10.0467,78.76,83,97,6.38,overcast clouds
158,Zyryanka,RU,2022-01-29 21:07:55,65.75,150.85,-22.11,100,93,2.19,overcast clouds
159,La Libertad,EC,2022-01-29 21:07:56,-2.2333,-80.9,83.86,65,0,10.36,clear sky
160,Kirovskiy,RU,2022-01-29 21:07:57,45.0917,133.5136,-9.63,100,96,3.02,overcast clouds
161,Najran,SA,2022-01-29 21:07:58,17.4924,44.1277,61.09,38,36,2.37,scattered clouds
162,Oxbow,CA,2022-01-29 21:07:58,49.2333,-102.1676,18.64,84,77,7.27,broken clouds
163,Verkhnevilyuysk,RU,2022-01-29 21:07:59,63.4453,120.3167,-17.43,98,89,5.44,overcast clouds
164,Lucapa,AO,2022-01-29 21:08:00,-8.4192,20.7447,66.88,94,100,3.38,overcast clouds
165,Fortuna,US,2022-01-29 21:08:01,40.5982,-124.1573,56.93,75,0,7.0,clear sky
166,Kant,IN,2022-01-29 21:08:02,27.8,79.8,49.95,73,0,7.99,clear sky
167,Brandon,US,2022-01-29 21:06:39,27.9378,-82.2859,52.32,48,0,1.99,clear sky
168,Bereda,ES,2022-01-29 21:08:04,43.2686,-7.5406,46.92,100,100,2.26,overcast clouds
169,Novomykolayivka,UA,2022-01-29 21:08:05,47.9781,35.9102,32.25,92,92,11.52,overcast clouds
170,Natal,BR,2022-01-29 21:08:06,-5.795,-35.2094,79.45,83,0,6.91,clear sky
171,Liuzhou,CN,2022-01-29 21:08:06,24.3126,109.3892,39.02,80,4,9.84,clear sky
172,Necochea,AR,2022-01-29 21:07:55,-38.5473,-58.7368,90.03,40,1,18.07,clear sky
173,Kargopol,RU,2022-01-29 21:08:08,61.5071,38.9456,1.51,100,100,4.36,overcast clouds
174,Castro,BR,2022-01-29 21:08:09,-24.7911,-50.0119,60.17,99,100,6.11,overcast clouds
175,Rawson,AR,2022-01-29 21:08:10,-43.3002,-65.1023,83.1,32,62,7.85,broken clouds
176,Saint-Augustin,CA,2022-01-29 21:08:10,51.226,-58.6502,7.83,79,100,15.21,overcast clouds
177,Kaitangata,NZ,2022-01-29 21:08:11,-46.2817,169.8464,56.39,93,100,4.25,light rain
178,Kichera,RU,2022-01-29 21:08:12,55.9375,110.0997,-10.17,87,33,4.29,scattered clouds
179,Sotnikovo,RU,2022-01-29 21:08:13,51.8845,107.4791,-23.71,76,20,2.24,smoke
180,Nerchinskiy Zavod,RU,2022-01-29 21:08:14,51.3088,119.61,-22.41,100,45,2.35,scattered clouds
181,Hualmay,PE,2022-01-29 21:05:06,-11.0964,-77.6139,73.96,73,60,11.65,broken clouds
182,Codrington,AU,2022-01-29 21:08:15,-38.2667,141.9667,63.81,82,80,6.33,broken clouds
183,San Luis,AR,2022-01-29 21:08:16,-33.295,-66.3356,88.5,23,0,3.62,clear sky
184,Russell,US,2022-01-29 21:08:17,32.3502,-85.1999,44.06,22,0,12.66,clear sky
185,Benalla,AU,2022-01-29 21:09:18,-36.55,145.9833,68.58,83,100,5.95,overcast clouds
186,Usinsk,RU,2022-01-29 21:09:19,65.9939,57.5281,12.15,92,100,19.42,overcast clouds
