City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
155,Uni,RU,2022-01-28 16:10:26,57.7535,51.4923,6.85,99,99,6.67
156,Daugavpils,LV,2022-01-28 16:10:27,55.8833,26.5333,31.84,96,100,13.82
157,Roswell,US,2022-01-28 16:10:27,34.0232,-84.3616,46.58,60,100,1.01
158,Lorengau,PG,2022-01-28 16:10:28,-2.0226,147.2712,82.13,78,69,10.8
159,Paamiut,GL,2022-01-28 16:10:29,61.994,-49.6678,22.42,87,100,27.58
160,Neringa,LT,2022-01-28 16:10:31,55.3719,21.0647,37.0,76,100,31.83
161,Jablah,SY,2022-01-28 16:10:31,35.3614,35.9256,50.29,71,40,6.91
162,Ngunguru,NZ,2022-01-28 16:10:32,-35.6167,174.5,65.16,67,43,14.07
163,Luderitz,NA,2022-01-28 16:10:34,-26.6481,15.1594,74.86,54,0,33.87
164,Sorong,ID,2022-01-28 16:07:41,-0.8833,131.25,81.3,81,80,12.93
165,Norman Wells,CA,2022-01-28 16:10:36,65.282,-126.8329,-7.31,98,100,6.6
166,Toma,BF,2022-01-28 16:10:36,12.7667,-2.8833,94.66,8,17,9.24
167,Adrar,MR,2022-01-28 16:10:37,20.5022,-10.0711,86.02,7,87,10.58
168,Egvekinot,RU,2022-01-28 16:10:38,66.3167,-179.1667,-4.11,92,32,3.15
169,Zhenhai,CN,2022-01-28 16:10:40,24.2582,118.0905,55.35,80,100,18.01
170,Byron Bay,AU,2022-01-28 16:10:40,-28.65,153.6167,72.88,85,32,5.93
171,Saint-Georges,GD,2022-01-28 16:10:41,12.0564,-61.7485,80.02,65,1,11.48
172,Pisco,PE,2022-01-28 16:10:42,-13.7,-76.2167,71.02,83,0,8.05
173,Biltine,TD,2022-01-28 16:10:42,14.5333,20.9167,79.34,12,5,11.36
174,Staraya Poltavka,RU,2022-01-28 16:10:46,50.4772,46.4814,6.3,100,90,4.41
175,King City,US,2022-01-28 16:10:46,36.2127,-121.126,53.56,45,97,2.84
176,Kiunga,PG,2022-01-28 16:09:08,-6.1219,141.2906,71.35,99,100,1.92
177,Yulara,AU,2022-01-28 16:09:43,-25.2406,130.9889,82.24,54,75,8.05
178,Posse,BR,2022-01-28 16:10:48,-14.0931,-46.3694,82.0,50,46,6.89
179,Constitucion,CL,2022-01-28 16:10:48,-35.3333,-72.4167,67.77,68,61,9.82
180,Airai,TL,2022-01-28 16:10:48,-8.9266,125.4092,60.19,92,100,3.38
181,Pevek,RU,2022-01-28 16:10:49,69.7008,170.3133,-19.64,98,95,2.39
182,Kharan,PK,2022-01-28 16:07:04,28.5833,65.4167,61.77,25,1,1.95
183,Ahuimanu,US,2022-01-28 16:11:50,21.4447,-157.8378,66.78,88,40,0.0
184,Kurchum,KZ,2022-01-28 16:11:50,48.5722,83.6542,-12.89,94,32,2.66
185,Grande Prairie,CA,2022-01-28 16:11:51,55.1667,-118.8027,30.88,64,100,10.89
186,Chongwe,ZM,2022-01-28 16:11:52,-15.3292,28.682,68.18,95,100,4.59
187,Ribeira Grande,PT,2022-01-28 16:11:52,38.5167,-28.7,63.0,51,40,10.36
188,Ilulissat,GL,2022-01-28 16:11:53,69.2167,-51.1,15.82,48,75,32.21
189,Vranestica,MK,2022-01-28 16:11:53,41.4453,21.0267,39.61,85,32,3.56
190,Turinsk,RU,2022-01-28 16:11:57,58.0458,63.696,0.23,99,70,3.85
191,Maniitsoq,GL,2022-01-28 16:11:58,65.4167,-52.9,19.96,74,100,29.39
192,Myrtle Beach,US,2022-01-28 16:11:58,33.6891,-78.8867,45.01,45,40,6.91
193,Sao Filipe,CV,2022-01-28 16:11:59,14.8961,-24.4956,72.88,68,98,10.58
194,Torbay,CA,2022-01-28 16:11:59,47.6666,-52.7314,25.29,82,77,1.99
195,Kodiak,US,2022-01-28 16:12:01,57.79,-152.4072,29.71,80,100,17.27
196,Necochea,AR,2022-01-28 16:12:01,-38.5473,-58.7368,82.04,39,0,2.57
197,Provideniya,RU,2022-01-28 16:12:03,64.3833,-173.3,-1.91,98,28,2.35
198,Itoman,JP,2022-01-28 16:12:04,26.1247,127.6694,66.22,77,100,8.05
199,Ledyard,US,2022-01-28 16:12:04,41.4398,-72.0142,34.7,56,100,1.01
200,Fort Nelson,CA,2022-01-28 16:12:05,58.8053,-122.7002,1.62,99,100,2.33
201,Trairi,BR,2022-01-28 16:12:08,-3.2778,-39.2689,74.35,92,98,5.68
202,Springfield,US,2022-01-28 16:12:10,37.2153,-93.2982,31.46,56,100,7.0
203,Sarangani,PH,2022-01-28 16:12:11,5.4033,125.4636,82.08,75,65,15.9
204,Aklavik,CA,2022-01-28 16:12:12,68.2191,-135.0107,-29.78,93,56,3.04
205,Paso De Los Toros,UY,2022-01-28 16:12:12,-32.8167,-56.5167,75.54,47,0,8.59
206,Piacabucu,BR,2022-01-28 16:12:14,-10.4056,-36.4344,87.08,58,98,13.53
207,Nanortalik,GL,2022-01-28 16:12:16,60.1432,-45.2371,19.78,71,72,4.05
208,Anadyr,RU,2022-01-28 16:12:16,64.75,177.4833,-3.51,84,100,1.48
209,Husavik,IS,2022-01-28 16:12:18,66.0449,-17.3389,28.96,74,33,18.84
210,Clyde River,CA,2022-01-28 16:12:18,70.4692,-68.5914,-12.77,77,100,29.93
211,Hilo,US,2022-01-28 16:12:19,19.7297,-155.09,69.24,73,100,6.91
212,Kongoussi,BF,2022-01-28 16:12:20,13.3258,-1.5347,90.9,9,9,10.27
213,Mana,GF,2022-01-28 16:12:20,5.6592,-53.7767,81.43,67,59,8.7
214,Kapoeta,SS,2022-01-28 16:12:22,4.7717,33.5903,91.62,17,0,7.67
215,Bilibino,RU,2022-01-28 16:12:23,68.0546,166.4372,-9.38,97,65,4.59
216,Lahore,PK,2022-01-28 16:09:17,31.5497,74.3436,55.38,58,2,0.0
217,Manzhouli,CN,2022-01-28 16:12:25,49.6,117.4333,-7.78,86,8,9.04
218,Narwar,IN,2022-01-28 16:12:26,25.65,77.9,54.09,38,0,2.57
219,Tromso,NO,2022-01-28 16:12:23,69.6496,18.957,24.82,93,40,1.01
220,Wisconsin Rapids,US,2022-01-28 16:12:29,44.3836,-89.8174,7.29,79,0,0.0
221,Salalah,OM,2022-01-28 16:09:31,17.0151,54.0924,75.29,69,0,3.44
222,Naze,JP,2022-01-28 16:12:32,28.3667,129.4833,57.16,75,100,8.48
223,Belmonte,BR,2022-01-28 16:12:34,-15.8631,-38.8828,84.7,63,37,8.14
224,Haines Junction,CA,2022-01-28 16:12:37,60.7522,-137.5108,19.72,97,100,1.12
225,Kidal,ML,2022-01-28 16:12:38,18.4411,1.4078,79.02,10,1,15.19
226,Borazjan,IR,2022-01-28 16:11:16,29.2666,51.2159,55.58,50,77,3.94
227,Tuktoyaktuk,CA,2022-01-28 16:12:39,69.4541,-133.0374,-22.07,99,29,10.36
228,Port-Cartier,CA,2022-01-28 16:12:39,50.0334,-66.8654,10.74,76,99,12.71
